building_id,x,y,name
1,4935,1605,Preuss School Buildings A-F C8 Athletic & Recreation Facilities
2,3522,1849,Canyonview Aquatics and Activities Center D6
3,1745,3051,LionTree Arena C4
4,2136,703,Northview Tennis Courts A4
5,2189,2251,Main Gym E4
6,2097,2259,Natatorium E4
7,2294,1206,RIMAC Annex B4
8,2288,803,Outback Adventures B4
9,2192,2310,Recreation Gymnasium E4
11,2293,666,Spanos Athletic Performance Center and Training Facility A4
12,4351,1718,Triton Ballpark & Clubhouse D7
16,2710,1751,Geisel Library D5
17,2214,1439,Robinson Library C4
18,2802,2450,Sally T. WongAvery Library E5 Medical Clinics/Health Sciences East
20,4256,2003,Altman Clinical and Translational Research Institute D7
23,4849,2028,Hamilton Glaucoma and Joan and Irwin Jacobs Retina Center D8
26,5143,1983,Medical Center Modular Building 1 D9
27,5073,1973,Medical Center Modular Building 2 D9
28,4534,2143,Perlman Medical Offices E8
29,5100,2043,Radiation Oncology PET/CT Center D9
30,4735,2011,Ratner Children’s Eye Center D8
31,4797,2149,Rebecca and John Moores Cancer Center E8
32,4797,1977,Shiley Eye Institute D8
33,4167,2345,East Campus Office Building E7 Parking Structures
34,4944,1998,Athena Parking Structure D8
35,4490,1890,Campus Point Parking Structure East D8
36,4350,1962,Campus Point Parking Structure West D7
37,3280,2216,Gilman Parking Structure E6
38,2454,1454,Hopkins Parking Structure C4
39,4830,2338,Mesa Canyon Parking Structure E8
40,4654,2473,Ola Parking Structure E8
41,4467,2677,One Miramar Street Parking Garage F8
42,1917,1406,Pangea Parking Structure C3
43,2128,1873,Scholars Parking Structure D4
44,2761,2637,South Parking Structure F5
46,3832,1633,Campus Services Complex - Building B C6
47,3832,1548,Campus Services Complex - Building C C6
48,3832,1466,Campus Services Complex - Building D C6
50,3882,1607,Campus Services Complex - Electric Shops C7
51,3921,1478,Fleet Services C7
52,3846,1382,Transit Operations C6
53,3892,1419,Environmental Management Facility C7
56,3879,1552,"Storehouse, Custodial, and Shops C7"
57,5201,1908,Triton Transit Operations D9 Theatre and Music
58,3119,2157,Conrad Prebys Music Center E5
59,3333,2019,Epstein Family Amphiteater D6
60,2175,2991,Mandell Weiss Theatre F4
61,2257,2964,La Jolla Playhouse F4
64,2261,2851,Shank Theatre F4 Research
65,3799,1253,Biology Field Station C6
68,3072,1937,Powell Structural Components Laboratory D5
69,3078,1972,Science and Engineering Research Facility D5
70,2104,2735,Podemos F4
71,1941,2765,Pulse F3
72,2095,2803,Sankofa F4
73,1917,2822,Azad F3
74,1925,2876,Survivance F3 Eleanor Roosevelt Housing
75,1938,2917,Theatre District Parking Structure F3 Operations
80,2169,1242,Gildred Latin American Studies Building C4
