building_id,x,y,name
1,530,199,Unknown Building
1,530,3076,Unknown Building
1,4929,1612,Unknown Building
2,1128,199,Unknown Building
2,3517,1856,Unknown Building
2,1128,3076,Unknown Building
3,1728,199,Unknown Building
3,2475,1279,Unknown Building
3,1728,3076,Unknown Building
4,2130,710,Unknown Building
4,2337,199,Unknown Building
4,2337,3076,Unknown Building
5,2928,3076,Unknown Building
5,2928,199,Unknown Building
5,2183,2259,Unknown Building
6,3565,199,Unknown Building
6,3565,3076,Unknown Building
6,2092,2267,Unknown Building
7,2288,1214,Unknown Building
7,4126,199,Unknown Building
7,4126,3076,Unknown Building
8,4692,199,Unknown Building
8,4692,3076,Unknown Building
8,2283,811,Unknown Building
9,2186,2318,Unknown Building
9,5278,3076,Unknown Building
9,5278,199,Unknown Building
10,2373,1294,Unknown Building
11,2281,673,Unknown Building
12,4339,1726,Unknown Building
13,4278,2182,Unknown Building
14,4344,2065,Unknown Building
15,4359,2129,Unknown Building
16,2699,1758,Unknown Building
17,2202,1447,Unknown Building
18,2790,2458,Unknown Building
19,4190,2157,Unknown Building
20,4245,2011,Unknown Building
21,5156,2057,Unknown Building
23,4838,2036,Unknown Building
24,4630,2124,Unknown Building
26,5131,1991,Unknown Building
27,5061,1980,Unknown Building
28,4523,2151,Unknown Building
29,5089,2050,Unknown Building
30,4724,2019,Unknown Building
31,4785,2157,Unknown Building
32,4785,1984,Unknown Building
33,4156,2352,Unknown Building
34,4932,2005,Unknown Building
35,4479,1897,Unknown Building
36,4339,1970,Unknown Building
37,3268,2224,Unknown Building
38,2442,1462,Unknown Building
39,4818,2346,Unknown Building
40,4643,2481,Unknown Building
41,4456,2685,Unknown Building
42,1906,1414,Unknown Building
43,2117,1881,Unknown Building
44,2750,2645,Unknown Building
45,3895,1699,Unknown Building
46,3821,1641,Unknown Building
47,3821,1555,Unknown Building
48,3821,1474,Unknown Building
50,3871,1614,Unknown Building
51,3910,1486,Unknown Building
52,3834,1389,Unknown Building
53,3881,1426,Unknown Building
55,3872,1670,Unknown Building
56,3868,1559,Unknown Building
57,5189,1916,Unknown Building
58,3108,2164,Unknown Building
59,3322,2027,Unknown Building
60,2164,2998,Unknown Building
61,2246,2971,Unknown Building
62,2346,2902,Unknown Building
63,2197,2875,Unknown Building
64,2250,2858,Unknown Building
65,3788,1260,Unknown Building
66,5066,2255,Unknown Building
67,5222,2259,Unknown Building
68,3061,1944,Unknown Building
69,3067,1980,Unknown Building
70,2092,2743,Unknown Building
71,1930,2773,Unknown Building
72,2084,2811,Unknown Building
73,1905,2830,Unknown Building
74,1914,2883,Unknown Building
75,1927,2925,Unknown Building
76,1961,1179,Unknown Building
77,2158,1315,Unknown Building
78,2038,1160,Unknown Building
79,2072,1186,Unknown Building
80,2158,1250,Unknown Building
81,2072,1451,Unknown Building
82,2211,1294,Unknown Building
83,2207,1359,Unknown Building
84,2232,1403,Unknown Building
85,2348,1410,Unknown Building
86,2308,1469,Unknown Building
87,2072,1414,Unknown Building
88,2072,1363,Unknown Building
89,1869,1185,Unknown Building
90,1869,1220,Unknown Building
91,1947,1251,Unknown Building
92,1947,1322,Unknown Building
93,1869,1268,Unknown Building
94,1869,1308,Unknown Building
95,1987,1243,Unknown Building
96,1869,1353,Unknown Building
97,1986,1333,Unknown Building
98,2064,1243,Unknown Building
99,2072,1322,Unknown Building
100,2140,1200,Unknown Building
101,3051,2617,Unknown Building
102,2901,2448,Unknown Building
103,2677,2360,Unknown Building
104,2598,2433,Unknown Building
105,2888,2722,Unknown Building
106,3176,2584,Unknown Building
107,2575,2380,Unknown Building
108,3143,2618,Unknown Building
109,3125,2678,Unknown Building
110,3153,2652,Unknown Building
111,3097,2704,Unknown Building
112,3058,2696,Unknown Building
113,3060,2731,Unknown Building
114,2810,2326,Unknown Building
115,3100,2739,Unknown Building
116,3108,2502,Unknown Building
117,3002,2453,Unknown Building
118,3039,2830,Unknown Building
119,3203,2508,Unknown Building
120,2957,2622,Unknown Building
121,3196,2402,Unknown Building
122,2879,2525,Unknown Building
123,4752,2678,Unknown Building
124,5089,2865,Unknown Building
125,5128,2739,Unknown Building
126,4290,2702,Unknown Building
127,4151,2725,Unknown Building
128,4208,2659,Unknown Building
129,4305,2635,Unknown Building
130,4370,2658,Unknown Building
131,4623,2569,Unknown Building
132,4900,2535,Unknown Building
133,4844,2461,Unknown Building
134,4772,2524,Unknown Building
135,4761,2590,Unknown Building
136,5148,2576,Unknown Building
137,5153,2504,Unknown Building
138,5393,2581,Unknown Building
139,5001,2547,Unknown Building
140,5040,2468,Unknown Building
141,5335,2524,Unknown Building
142,4524,2586,Unknown Building
143,4543,2485,Unknown Building
144,4435,2535,Unknown Building
145,2193,2009,Unknown Building
146,2193,2099,Unknown Building
147,2398,2017,Unknown Building
148,2102,2099,Unknown Building
149,2433,2188,Unknown Building
150,2034,2005,Unknown Building
151,2034,2040,Unknown Building
152,1976,2055,Unknown Building
153,2387,2265,Unknown Building
154,2508,2259,Unknown Building
155,1994,2125,Unknown Building
156,1916,1989,Unknown Building
157,1863,2037,Unknown Building
158,1882,2118,Unknown Building
159,2103,523,Unknown Building
160,1975,464,Unknown Building
161,1955,259,Unknown Building
162,2092,265,Unknown Building
163,2104,449,Unknown Building
164,1987,574,Unknown Building
165,1907,668,Unknown Building
166,2157,1121,Unknown Building
167,1774,800,Unknown Building
168,2074,1074,Unknown Building
169,3445,1997,Unknown Building
170,3705,2076,Unknown Building
171,3538,2101,Unknown Building
172,3208,2123,Unknown Building
173,3386,1941,Unknown Building
174,3212,2035,Unknown Building
175,3616,2058,Unknown Building
176,3774,2168,Unknown Building
177,2063,2554,Unknown Building
178,2291,2397,Unknown Building
179,2451,2799,Unknown Building
180,2208,2662,Unknown Building
181,1912,2578,Unknown Building
182,2353,2481,Unknown Building
183,1967,2486,Unknown Building
184,2030,2415,Unknown Building
185,2125,2363,Unknown Building
186,2164,2450,Unknown Building
187,2194,2495,Unknown Building
188,2332,2587,Unknown Building
189,2116,2583,Unknown Building
190,2005,2666,Unknown Building
191,1963,2637,Unknown Building
192,2116,2535,Unknown Building
193,2007,2627,Unknown Building
194,1912,2619,Unknown Building
195,1884,2656,Unknown Building
196,1934,2689,Unknown Building
197,2072,2633,Unknown Building
198,2109,2662,Unknown Building
199,2067,2670,Unknown Building
200,2098,970,Unknown Building
201,1953,950,Unknown Building
202,2200,1893,Unknown Building
203,2200,1855,Unknown Building
204,2200,1816,Unknown Building
205,2160,1930,Unknown Building
206,2073,1820,Unknown Building
207,1906,1824,Unknown Building
208,2074,1934,Unknown Building
209,1908,1927,Unknown Building
210,2430,1864,Unknown Building
211,2304,1744,Unknown Building
212,1862,1667,Unknown Building
213,2308,1924,Unknown Building
214,2323,1852,Unknown Building
215,2398,1812,Unknown Building
216,2155,1542,Unknown Building
217,1899,1503,Unknown Building
218,3108,1616,Unknown Building
219,3308,1451,Unknown Building
220,3274,1693,Unknown Building
221,3269,1778,Unknown Building
222,3077,1493,Unknown Building
223,3234,1853,Unknown Building
224,3022,1722,Unknown Building
225,3067,1833,Unknown Building
226,3146,1717,Unknown Building
227,3392,1795,Unknown Building
228,3146,1862,Unknown Building
229,3295,1631,Unknown Building
230,3463,1448,Unknown Building
231,3383,1663,Unknown Building
232,3403,1589,Unknown Building
233,3441,1501,Unknown Building
234,3331,1515,Unknown Building
235,3355,1394,Unknown Building
236,3211,1549,Unknown Building
237,3434,1352,Unknown Building
238,3422,1405,Unknown Building
239,2781,2071,Unknown Building
240,2901,1947,Unknown Building
241,2836,1970,Unknown Building
242,2617,1995,Unknown Building
243,2944,2067,Unknown Building
244,3095,2039,Unknown Building
245,3114,2248,Unknown Building
246,2725,2125,Unknown Building
247,2753,2099,Unknown Building
248,2633,2123,Unknown Building
249,2757,2172,Unknown Building
